rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
1,Brown|Tan|Orange,#55331A|#A79E82|#F67405,15.2430,6.7262,4.8682,3.6960,2.9718,18.4648,5.2111
2,Brown|Tan|Red,#55331A|#A79E82|#E72F1D,15.6611,7.1137,5.2667,4.1723,3.5527,18.5717,5.6430
3,Black|Tan|Orange,#080A0D|#A79E82|#F67405,21.3238,7.5218,5.2017,4.0424,3.5669,22.4022,5.7821
4,Brown|Lime Green|Pink,#55331A|#D5D701|#F1A1AF,18.5569,7.8979,5.4032,3.9149,3.1397,19.8932,5.9064
5,Brown|Orange|Yellow,#55331A|#F67405|#FFE800,18.3110,7.9194,5.4500,3.9071,3.0569,19.4977,5.9133
6,Brown|Lime Green|Orange,#55331A|#D5D701|#F67405,18.5457,8.0679,5.5248,3.8896,2.9764,19.6444,5.9788
7,Black|Tan|Red,#080A0D|#A79E82|#E72F1D,21.8638,8.0406,5.5671,4.2308,3.6641,21.5622,6.1357
8,Brown|Tan|Magenta,#55331A|#A79E82|#F24574,16.1160,7.6080,5.7884,4.6762,4.0226,19.1754,6.1421
9,Brown|Pink|Yellow,#55331A|#F1A1AF|#FFE800,18.4173,8.0483,5.7044,4.3895,3.7382,19.6898,6.2189
10,Brown|Tan|Pink,#55331A|#A79E82|#F1A1AF,15.7721,7.6375,5.9749,4.9834,4.3110,19.5012,6.3105
11,Black|Orange|Yellow,#080A0D|#F67405|#FFE800,25.9019,8.8310,5.7153,3.7926,2.7819,23.6463,6.3118
12,Brown|Olive Green|Orange,#55331A|#948902|#F67405,19.6679,8.5659,5.9207,4.2064,3.2082,21.6641,6.3861
13,Brown|Tan|Yellow,#55331A|#A79E82|#FFE800,15.9114,7.7150,6.1966,5.3689,4.8942,18.2376,6.5420
14,Brown|Olive Green|Pink,#55331A|#948902|#F1A1AF,20.8795,8.8305,6.0106,4.3633,3.5249,25.9155,6.5969
15,Dark Olive Drab|Tan|Orange,#575B54|#A79E82|#F67405,14.1175,7.7450,6.3935,5.5070,4.8985,22.9198,6.6260
16,Brown|Lime Green|Red,#55331A|#D5D701|#E72F1D,19.3207,8.7786,6.2642,4.8129,4.1160,20.7950,6.7958
17,Brown|Tan|Lime Green,#55331A|#A79E82|#D5D701,16.0115,7.9605,6.4801,5.6675,5.1947,18.3704,6.8140
18,Brown|Olive Green|Tan,#55331A|#948902|#A79E82,16.5064,8.1485,6.6096,5.7468,5.2299,19.2590,6.9477
19,Black|Brown|Tan,#080A0D|#55331A|#A79E82,15.9650,7.9652,6.5845,5.9679,5.7853,18.4581,6.9665
20,Black|Lime Green|Pink,#080A0D|#D5D701|#F1A1AF,27.4568,9.5362,6.3139,4.4961,3.6786,25.6982,7.0161
21,Brown|Lime Green|Magenta,#55331A|#D5D701|#F24574,19.6813,9.0224,6.4827,5.0400,4.3434,21.1285,7.0312
22,Black|Olive Green|Orange,#080A0D|#948902|#F67405,27.2184,9.8756,6.3790,4.2409,3.2493,27.0131,7.0582
23,Black|Pink|Yellow,#080A0D|#F1A1AF|#FFE800,27.2983,9.4038,6.3059,4.7183,4.0717,26.0657,7.0610
24,Black|Lime Green|Orange,#080A0D|#D5D701|#F67405,26.6803,9.5473,6.3819,4.5874,3.7601,24.9707,7.0673
25,Dark Olive Drab|Red|Yellow,#575B54|#E72F1D|#FFE800,17.9191,8.8363,6.7150,5.3099,4.4194,23.4319,7.0731
26,Dark Grey|Brown|Tan,#485259|#55331A|#A79E82,15.5274,7.9986,6.7449,6.1550,5.9665,18.7479,7.0768
27,Brown|Grey|Tan,#55331A|#8C9099|#A79E82,16.0103,8.2156,6.7847,5.9965,5.5464,19.4367,7.1061
28,Dark Olive Drab|Lime Green|Red,#575B54|#D5D701|#E72F1D,18.3141,8.9254,6.7540,5.3898,4.5989,22.4448,7.1576
